QUESTION_CODE_ID,QUESTION_SHORT_EN,QUESTION_SHORT_ALIAS_EN
CA49_T_2,WORK_TIME_PAST_LABEL,Duration in Most Recent Job Label
CA49_T_2_1,WORK_TIME_PAST_WEEK,Weeks in Most Recent Job
CA49_T_2_2,WORK_TIME_PAST_MONTH,Months in Most Recent Job
CA50_T_1,WORK_NOC_PAST,Most Recent Occupation
CA50_T_2,WORK_NOC_CURRENT,Current Job Occupation
CA103,WORK_EXP_LOCATION,Work Experience in Canada
CA92,WORK_PERCEPT_UNCONTROL,Job Search Perceived as Uncontrollable
CA93,WORK_PERCEPT_IMPORTANCE,Perception that Any Job is Better than Unemployent
CA94,WORK_ABILITY,Ability to Work
CA97,WORK_GOAL_NOC_LABEL,Occupation Goal Label
CA97_1,WORK_GOAL_NOC,Occupation Goal
CA97_2,WORK_GOAL_NOC_NS,Not Sure about Occupation Goal
CA98,WORK_GOAL_HOUR_LABEL,Weekly Hours Goal Label
CA98_1,WORK_GOAL_HOUR,Weekly Hours Goal
CA98_2,WORK_GOAL_HOUR_NS,Not Sure about Weekly Hours Goal
CA99,NA,NA
CA100,WORK_GOAL_WAGE_LABEL,Hourly Wage Goal Label
CA100_1,WORK_GOAL_WAGE,Hourly Wage Goal
CA100_2,WORK_GOAL_WAGE_PNTA,Prefer Not To Answer Hourly Wage Goal
